M,N,n,rho,model,R2,MSE
2500,500,250,0.9,linreg,0.9975104745840023,1.2752457524141119
2500,500,250,0.9,pcr,0.9475497009723918,26.8673782633398
2500,500,250,0.9,pls,0.9974732617604012,1.2943078173875042
1500,500,5,0.9,linreg,0.9969458529668314,1.5641810365569944
1500,500,5,0.9,pcr,0.9044358926386566,48.94314611796097
1500,500,5,0.9,pls,0.9961955767184534,1.9484349271348733
1500,500,50,0.9,linreg,0.9969458529668314,1.5641810365569944
1500,500,50,0.9,pcr,0.9109195382555789,45.62254779325489
1500,500,50,0.9,pls,0.9969458529668306,1.5641810365573892
1500,500,125,0.9,linreg,0.9969458529668314,1.5641810365569944
1500,500,125,0.9,pcr,0.9248918762354869,38.46661657344641
1500,500,125,0.9,pls,0.9969465603709469,1.5638187396240968
1500,500,250,0.9,linreg,0.9969458529668314,1.5641810365569944
1500,500,250,0.9,pcr,0.9484151122044665,26.41919409458844
1500,500,250,0.9,pls,0.9969242819319436,1.5752286394863442
1000,500,5,0.9,linreg,0.9958122668218375,2.1446002299867324
1000,500,5,0.9,pcr,0.9030674760023619,49.64058224687181
1000,500,5,0.9,pls,0.9934806966697785,3.3386318627590414
1000,500,50,0.9,linreg,0.9958122668218375,2.1446002299867324
1000,500,50,0.9,pcr,0.9123575034208545,44.88302151158534
1000,500,50,0.9,pls,0.9958122668063399,2.144600237923286
1000,500,125,0.9,linreg,0.9958122668218375,2.1446002299867324
1000,500,125,0.9,pcr,0.9240366710846569,38.9019466454845
1000,500,125,0.9,pls,0.995812266821812,2.144600229999784
1000,500,250,0.9,linreg,0.9958122668218375,2.1446002299867324
1000,500,250,0.9,pcr,0.9488029579800351,26.21876404714836
1000,500,250,0.9,pls,0.9958110717937048,2.1452122216059224
500,500,5,0.9,linreg,-2.4090824965442192,1746.0817446804488
500,500,5,0.9,pcr,0.9035217012007182,49.41476085193544
500,500,5,0.9,pls,0.9768855369544294,11.83888685676403
500,500,50,0.9,linreg,-2.4090824965442192,1746.0817446804488
500,500,50,0.9,pcr,0.911151105664855,45.50709247749252
500,500,50,0.9,pls,0.9671290629042992,16.83600888260229
500,500,125,0.9,linreg,-2.4090824965442192,1746.0817446804488
500,500,125,0.9,pcr,0.9225643310788367,39.66140685284777
500,500,125,0.9,pls,0.9307403943090475,35.473747925821044
500,500,250,0.9,linreg,-2.4090824965442192,1746.0817446804488
500,500,250,0.9,pcr,0.9524526198939133,24.35306640269903
500,500,250,0.9,pls,0.6065345686995856,201.52718728658124
5000,500,5,0.99,linreg,0.9970014908398093,1.101373809739092
5000,500,5,0.99,pcr,0.9841376078076327,5.826369834858916
5000,500,5,0.99,pls,0.9969961821689921,1.10332372240911
5000,500,50,0.99,linreg,0.9970014908398093,1.101373809739092
5000,500,50,0.99,pcr,0.9856640189141236,5.265708144074856
5000,500,50,0.99,pls,0.9970014908612516,1.1013738018631936
5000,500,125,0.99,linreg,0.9970014908398093,1.101373809739092
5000,500,125,0.99,pcr,0.9874858733150401,4.5965280231777985
5000,500,125,0.99,pls,0.9970017604489498,1.1012747803780294
5000,500,250,0.99,linreg,0.9970014908398093,1.101373809739092
5000,500,250,0.99,pcr,0.9905697379352361,3.463802543943728
5000,500,250,0.99,pls,0.9969916692129207,1.1049813633753185
2500,500,5,0.99,linreg,0.9965821285239105,1.2556545118103766
2500,500,5,0.99,pcr,0.9841612697653368,5.8188182966015685
2500,500,5,0.99,pls,0.9965647972352718,1.262021664854858
2500,500,50,0.99,linreg,0.9965821285239105,1.2556545118103766
2500,500,50,0.99,pcr,0.9853261293347073,5.390873248305302
2500,500,50,0.99,pls,0.9965821285239105,1.255654511810373
2500,500,125,0.99,linreg,0.9965821285239105,1.2556545118103766
2500,500,125,0.99,pcr,0.9875516518636778,4.5732628073665875
2500,500,125,0.99,pls,0.9965818439255634,1.2557590672920882
2500,500,250,0.99,linreg,0.9965821285239105,1.2556545118103766
2500,500,250,0.99,pcr,0.9905951440706795,3.4551474106595625
2500,500,250,0.99,pls,0.9965633235729122,1.2625630575911662
1500,500,5,0.99,linreg,0.9959798809244327,1.4766027883850792
1500,500,5,0.99,pcr,0.984156332060564,5.8194306730371945
1500,500,5,0.99,pls,0.9959866635102382,1.4741115225979828
1500,500,50,0.99,linreg,0.9959798809244327,1.4766027883850792
1500,500,50,0.99,pcr,0.9854356935251471,5.349517053453861
1500,500,50,0.99,pls,0.9959798809244327,1.4766027883850603
1500,500,125,0.99,linreg,0.9959798809244327,1.4766027883850792
1500,500,125,0.99,pcr,0.9873350074027815,4.65189289978682
1500,500,125,0.99,pls,0.9959813686716857,1.476056333988832
1500,500,250,0.99,linreg,0.9959798809244327,1.4766027883850792
1500,500,250,0.99,pcr,0.9904592816919637,3.5043368099376213
1500,500,250,0.99,pls,0.9959536568656109,1.4862349703307447
1000,500,5,0.99,linreg,0.9949052482156981,1.8718866266006646
1000,500,5,0.99,pcr,0.9843159967067491,5.762533143745786
1000,500,5,0.99,pls,0.9951757945044449,1.772483946897613
1000,500,50,0.99,linreg,0.9949052482156981,1.8718866266006646
1000,500,50,0.99,pcr,0.985310423364829,5.397166185510313
1000,500,50,0.99,pls,0.9949052482108286,1.8718866283898086
1000,500,125,0.99,linreg,0.9949052482156981,1.8718866266006646
1000,500,125,0.99,pcr,0.9875601867928536,4.5705700622387875
1000,500,125,0.99,pls,0.9949052482157769,1.8718866265717595
1000,500,250,0.99,linreg,0.9949052482156981,1.8718866266006646
1000,500,250,0.99,pcr,0.9904541341762442,3.507291293340537
1000,500,250,0.99,pls,0.9949048297043241,1.8720403938256975
500,500,5,0.99,linreg,-1.044620757647699,751.26650339197
500,500,5,0.99,pcr,0.9841629979743761,5.819078717409773
500,500,5,0.99,pls,0.9923153890368238,2.8235998224311123
500,500,50,0.99,linreg,-1.044620757647699,751.26650339197
500,500,50,0.99,pcr,0.985325094256024,5.392083145320027
500,500,50,0.99,pls,0.9471395709575661,19.42280471621398
500,500,125,0.99,linreg,-1.044620757647699,751.26650339197
500,500,125,0.99,pcr,0.9874324024773306,4.6177830346180615
500,500,125,0.99,pls,0.8760555335766168,45.54161232902973
500,500,250,0.99,linreg,-1.044620757647699,751.26650339197
500,500,250,0.99,pcr,0.9904692006463104,3.501955205235461
500,500,250,0.99,pls,0.7686496602998318,85.0063563695061
1000,100,1,0.01,linreg,0.9879769906419199,1.1319026189079244
1000,100,1,0.01,pcr,0.022899254362942933,91.98885736375045
1000,100,1,0.01,pls,0.8781875345008643,11.467998119908305
1000,100,10,0.01,linreg,0.9879769906419199,1.1319026189079244
1000,100,10,0.01,pcr,0.10084466367256051,84.65071012442282
1000,100,10,0.01,pls,0.9879770518858733,1.131896853114251
1000,100,25,0.01,linreg,0.9879769906419199,1.1319026189079244
1000,100,25,0.01,pcr,0.22576291553967065,72.89031867610741
1000,100,25,0.01,pls,0.9879769906419198,1.1319026189079295
1000,100,50,0.01,linreg,0.9879769906419199,1.1319026189079244
1000,100,50,0.01,pcr,0.5266384011561801,44.564486100285286
1000,100,50,0.01,pls,0.9879769906419671,1.1319026189034789
500,100,1,0.01,linreg,0.9864271428485171,1.2782078921594966
500,100,1,0.01,pcr,0.03390213330692071,90.98113271387558
500,100,1,0.01,pls,0.7922121665532207,19.56817534010349
500,100,10,0.01,linreg,0.9864271428485171,1.2782078921594966
500,100,10,0.01,pcr,0.08286996278206293,86.36964484522086
500,100,10,0.01,pls,0.98642713271429,1.2782088465384351
500,100,25,0.01,linreg,0.9864271428485171,1.2782078921594966
500,100,25,0.01,pcr,0.2121626090789931,74.19366162735682
500,100,25,0.01,pls,0.9864271428564249,1.2782078914147847
500,100,50,0.01,linreg,0.9864271428485171,1.2782078921594966
500,100,50,0.01,pcr,0.4946140001230569,47.594133381050604
500,100,50,0.01,pls,0.9864271428485171,1.2782078921594955
300,100,1,0.01,linreg,0.983232372644824,1.5791411897124097
300,100,1,0.01,pcr,0.026682160530307586,91.66510314376843
300,100,1,0.01,pls,0.7176273926438421,26.593280353701996
