K,n_K_ratio,n,N_K_ratio,M,rho,model,R2,MSE
200,0.1,20,3,600,0.5,pls,0.9993855918984914,1.4013261326049673
200,0.2,40,3,600,0.5,linreg,0.999385629808295,1.4012396689039055
200,0.2,40,3,600,0.5,pcr,0.17779261060167018,1875.269382607173
200,0.2,40,3,600,0.5,pls,0.9993856298078989,1.4012396698073284
200,0.5,100,3,600,0.5,linreg,0.999385629808295,1.4012396689039055
200,0.5,100,3,600,0.5,pcr,0.48794761330807046,1167.8758612921008
200,0.5,100,3,600,0.5,pls,0.9993856298128784,1.4012396584502127
200,0.8,160,3,600,0.5,linreg,0.999385629808295,1.4012396689039055
200,0.8,160,3,600,0.5,pcr,0.7403335428820573,592.2405502578732
200,0.8,160,3,600,0.5,pls,0.9993813445570211,1.411013359355163
200,0.01,2,2,400,0.5,linreg,0.9991211550886425,2.0036507654705966
200,0.01,2,2,400,0.5,pcr,0.02907929171205914,2213.5714677661267
200,0.01,2,2,400,0.5,pls,0.6393987744242025,822.1233488609034
200,0.1,20,2,400,0.5,linreg,0.9991211550886425,2.0036507654705966
200,0.1,20,2,400,0.5,pcr,0.12828457250459768,1987.396480313943
200,0.1,20,2,400,0.5,pls,0.9991189136315868,2.008760992641923
200,0.2,40,2,400,0.5,linreg,0.9991211550886425,2.0036507654705966
200,0.2,40,2,400,0.5,pcr,0.18959008421741186,1847.6279797701864
200,0.2,40,2,400,0.5,pls,0.9991211536028847,2.00365415280309
200,0.5,100,2,400,0.5,linreg,0.9991211550886425,2.0036507654705966
200,0.5,100,2,400,0.5,pcr,0.4863636773943363,1171.023234773801
200,0.5,100,2,400,0.5,pls,0.9991211550886425,2.0036507654706193
200,0.8,160,2,400,0.5,linreg,0.9991211550886425,2.0036507654705966
200,0.8,160,2,400,0.5,pcr,0.7725574845460078,518.5390098988443
200,0.8,160,2,400,0.5,pls,0.9991049209125746,2.0406625509231477
200,0.01,2,1,200,0.5,linreg,0.9490223342707844,116.20439583569303
200,0.01,2,1,200,0.5,pcr,0.019477108445783986,2235.117449695702
200,0.01,2,1,200,0.5,pls,0.47218027706171106,1203.173412058671
200,0.1,20,1,200,0.5,linreg,0.9490223342707844,116.20439583569303
200,0.1,20,1,200,0.5,pcr,0.13703975447837513,1967.1315374409298
200,0.1,20,1,200,0.5,pls,0.8873770465152959,256.7258049130522
200,0.2,40,1,200,0.5,linreg,0.9490223342707844,116.20439583569303
200,0.2,40,1,200,0.5,pcr,0.23068904998692352,1753.65648617407
200,0.2,40,1,200,0.5,pls,0.9262832657039984,168.03846251708273
200,0.5,100,1,200,0.5,linreg,0.9490223342707844,116.20439583569303
200,0.5,100,1,200,0.5,pcr,0.4679055752582577,1212.917662473875
200,0.5,100,1,200,0.5,pls,0.9515488378423078,110.44519095830411
200,0.8,160,1,200,0.5,linreg,0.9490223342707844,116.20439583569303
200,0.8,160,1,200,0.5,pcr,0.7864820037886552,486.7176516394975
200,0.8,160,1,200,0.5,pls,0.9572626480284872,97.42047020840374
200,0.01,2,10,2000,0.9,linreg,0.999425091253208,1.112654563966964
200,0.01,2,10,2000,0.9,pcr,0.6991791485525525,582.1962096890908
200,0.01,2,10,2000,0.9,pls,0.9746869290923947,48.98986844525148
200,0.1,20,10,2000,0.9,linreg,0.999425091253208,1.112654563966964
200,0.1,20,10,2000,0.9,pcr,0.7399902644325982,503.2120672527556
200,0.1,20,10,2000,0.9,pls,0.9994250912533736,1.1126545636462453
200,0.2,40,10,2000,0.9,linreg,0.999425091253208,1.112654563966964
200,0.2,40,10,2000,0.9,pcr,0.7658867000806141,453.09317886390926
200,0.2,40,10,2000,0.9,pls,0.999425091253208,1.1126545639669632
200,0.5,100,10,2000,0.9,linreg,0.999425091253208,1.112654563966964
200,0.5,100,10,2000,0.9,pcr,0.8575049234828013,275.7790660072078
200,0.5,100,10,2000,0.9,pls,0.9994252098933671,1.1124249527194743
200,0.8,160,10,2000,0.9,linreg,0.999425091253208,1.112654563966964
200,0.8,160,10,2000,0.9,pcr,0.9539002624319669,89.21952168750963
200,0.8,160,10,2000,0.9,pls,0.9994252691421969,1.1123102849896256
200,0.01,2,5,1000,0.9,linreg,0.9993379948379645,1.2817715269389165
200,0.01,2,5,1000,0.9,pcr,0.6995559046976543,581.7185558060522
200,0.01,2,5,1000,0.9,pls,0.9526757879964541,91.62893427364082
200,0.1,20,5,1000,0.9,linreg,0.9993379948379645,1.2817715269389165
200,0.1,20,5,1000,0.9,pcr,0.7306147452827879,521.5825632114484
200,0.1,20,5,1000,0.9,pls,0.9993379946242282,1.2817719407740837
200,0.2,40,5,1000,0.9,linreg,0.9993379948379645,1.2817715269389165
200,0.2,40,5,1000,0.9,pcr,0.7607068600986607,463.3183408634488
200,0.2,40,5,1000,0.9,pls,0.9993379948379645,1.2817715269388952
200,0.5,100,5,1000,0.9,linreg,0.9993379948379645,1.2817715269389165
